Team,ShotsTotal,OutOfBox,SixYardBox,PenaltyArea,OpenPlay,Counter,SetPiece,PenaltiesTaken,DribblesLost,DribblesWon,DribblesTotal,LongBallAccurate,LongBallInaccurate,ShortPassAccurate,ShortPassInaccurate,CrossAccurate,CrossInaccurate,CornerAccurate,CornerInaccurate,FreeKickAccurate,FreeKickInaccurate,TacklesAttempted,Interceptions,FoulsCommitted,TotalClearances,ShotsBlocked,CrossesBlocked,PassesBlocked,Rating,LeftSide,Middle,RightSide
Bayern Munich,18.1,5.8,1.6,10.7,13.9,0.4,3.6,0.2,7.7,14.1,21.8,38,21.1,533.8,65.1,6.8,18.2,3.2,3.8,11.4,0.6,23.3,10,9.5,10.1,2.3,1.3,6.2,7.15,37,26,37
Borussia Dortmund,13.1,4.2,0.9,8,9.2,0.9,2.9,0.1,8.3,13.8,22.1,32.3,23.6,545.5,63.8,3.4,11.6,2.7,2.9,9.8,1.4,23.9,11,9,12.5,2.6,1.3,7.8,6.97,39,22,39
RB Leipzig,16.2,5.5,1.1,9.6,11.1,0.7,4.1,0.1,6.9,11.4,18.3,25.8,25.1,421.6,69.4,5.1,13.4,2.6,3,11.4,1.5,28.9,10.7,11,16.4,2.5,1.6,9.1,6.95,36,27,37
Borussia M.Gladbach,14.1,4.6,1.2,8.4,9.6,0.6,3.7,0.2,7.4,11.4,18.8,27.6,26,367,61.8,3.9,12.9,2,3.1,11.1,1.5,26.8,11.2,12.5,16.3,3.1,1.5,8.6,6.85,37,26,37
Bayer Leverkusen,14.5,4.8,1.4,8.4,10.1,0.9,3.5,0.1,7.6,13.2,20.9,33.2,28.1,496.4,64.7,4.7,16.3,2.4,4,11,1.8,26.3,9.8,11.6,13.8,2.1,1.1,8.6,6.84,33,26,41
Eintracht Frankfurt,14.8,4.5,1.6,8.7,10,0.4,4.3,0.1,5.6,9.6,15.2,31.1,33.7,299.8,67.7,6.9,19.4,2.6,3.7,10.1,1.9,28.9,11,12.5,14.1,2.9,1.6,9,6.74,39,27,34
Wolfsburg,14,5.6,0.8,7.5,8.8,0.5,4.6,0.1,7.7,10.4,18,31,32.9,280.3,65.2,4.6,14.5,2.2,2.7,8.5,2.5,27.9,11.1,14.4,17.6,2.6,1.6,8.6,6.73,35,26,39
Hoffenheim,13.3,4.3,1,8,8.4,0.6,4.2,0.1,6.3,8.9,15.1,25.8,30.2,368.1,57.9,5.5,11.5,2.4,2.7,10.9,1.7,25.5,10.3,11.3,19.8,3.6,1.8,7.7,6.72,34,26,40
Freiburg,13.2,4.7,1.2,7.3,8.6,0.2,4.2,0.2,6,7.3,13.3,30.2,33.6,295.3,56.3,5.4,13.8,1.8,2.6,9.4,2,22.2,10.4,9.7,22.1,4.6,1.9,7.2,6.70,35,27,38
Hertha Berlin,10.6,3.9,0.6,6.1,7.2,0.6,2.7,0.1,5.1,10.4,15.5,35.1,33.6,272.6,55.7,4.2,11.3,1.7,2,9.2,2.2,25.5,12.1,13.7,21.7,3.8,1.9,8.9,6.69,36,26,37
Union Berlin,11.8,4.5,0.9,6.4,7.1,0.4,4.1,0.1,5.8,7.6,13.4,30,40.5,219.9,64.1,4.7,13.8,1.6,2.4,7.1,3.9,26.5,12.4,15.4,21.3,3.6,1.8,8,6.65,40,24,37
FC Koln,12.3,4.1,1.1,7.1,8,0.6,3.6,0.1,5.2,8,13.2,33.7,33.1,269.1,60.7,5.1,15.7,1.7,3.4,10.5,2,28.9,12.8,14.3,19.2,2.9,1.5,8.8,6.65,35,28,37
Mainz 05,13.3,5.6,0.7,7,8.8,0.5,3.9,0.1,6.9,11.1,18.1,24.9,34.1,248.3,55.4,4.7,13.4,1.9,3.3,8.9,2.4,26.3,10.7,13.6,20.1,3.2,1.8,8.6,6.63,36,30,34
Schalke 04,11.3,4.8,0.4,6.1,7.5,0.5,3.2,0.1,7.8,12.4,20.2,27.6,34.2,298.1,59.4,3.5,10.4,2,2.5,8.6,2.6,28.2,12,11.8,18.3,3.5,1.4,10.5,6.63,36,23,41
Augsburg,10.7,4.4,0.7,5.5,6.8,0.5,3.3,0.1,7.1,6.9,13.9,23.3,39.6,198.6,56.2,3.5,10.6,1.7,2.2,7.8,3.5,25.8,12.8,11.1,21.6,3.6,1.7,7,6.57,39,23,38
Werder Bremen,12.5,4.8,0.6,7.1,8.7,0.5,3.1,0.2,6.2,7.6,13.8,27.2,30.8,323.4,64.7,4.4,13.3,1.9,2.8,11.5,2.4,26.7,12.4,13.6,21,3.6,2.3,7.2,6.57,33,29,38
Fortuna Duesseldorf,12.6,5.9,0.6,6.1,8.4,0.4,3.7,0.1,5.8,7.6,13.3,34.2,33.4,273.7,56.1,4.5,16.3,1.6,2.7,9.9,2.7,24.5,11,12,16.5,3.1,1.8,7.2,6.52,34,23,43
Paderborn,12.7,5.8,0.6,6.2,8,0.6,4,0.1,9,11.2,20.3,28.5,28.6,278.8,59.1,3.4,13.5,1.6,3.5,9.1,1.8,31,10.7,12.5,20.7,3.3,1.9,9.5,6.52,45,22,33
